s.no,topic,title,url,labels,upvotes
891,Node.js,Node with React: Fullstack Web Development,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/node-with-react-fullstack-web-development/,"['Paid', 'Video', 'React']",5
892,Node.js,Implementing a WebSocket server with Node.js,https://hackernoon.com/implementing-a-websocket-server-with-node-js-d9b78ec5ffa8,"['Free', 'Beginner']",0
893,Objective-C,Learn Objective-C,https://code.tutsplus.com/series/learn-objective-c--mobile-22891,['Free'],0
894,Nim,How I Start Nim,http://howistart.org/posts/nim/1/index.html,"['Free', 'Beginner']",0
895,OpenCV,Digital Image Processing,http://nptel.ac.in/courses/106105032/,"['Free', 'Beginner']",1
896,OpenCV,Computer Vision Foundation,https://udacity.com/course/computer-vision-nanodegree--nd889-incv,"['Paid', 'Video', 'Beginner']",1
897,OpenCV,OpenCV Tutorials,https://www.youtube.com/playlist?list=PLpV2_Uaul7v_i88gZRwIwPgNGpakZnOhs,"['Free', 'Video']",0
898,OpenCV,OpenCV Face Recognition,https://www.pyimagesearch.com/2018/09/24/opencv-face-recognition,"['Free', 'Beginner']",0
899,OpenCV,Some OpenCV Tutorials,http://www.aishack.in/category/opencv/,['Free'],0
900,OpenCV,Learning OpenCV 3: Computer Vision in C++ with the OpenCV Library,https://www.amazon.com/Learning-OpenCV-Computer-Vision-Library/dp/1491937998/?tag=hackr-20,"['Paid', 'Book', 'OpenCV 3']",0
901,OpenCV,Introduction to Computer Vision | Master OpenCV 3 in Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/master-computer-vision-with-opencv-in-python/,"['Paid', 'Video', 'OpenCV 3']",0
902,OpenCV,Learn Computer Vision with OpenCV Library using Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/pythoncv/,"['Paid', 'Video']",0
903,Perl,Modern Perl 2014,http://modernperlbooks.com/books/modern_perl_2014/,['Free'],9
904,Perl,Beginning Perl,http://www.perl.org/books/beginning-perl/,['Free'],3
905,Perl, Perl Tutorial Hub,http://perl-tutorial.org/,['Free'],2
906,Perl,Higher-Order Perl,https://hop.perl.plover.com/book/,"['Free', 'Book', 'Advanced']",2
907,Perl, Fundamentals of Perl Programming,https://alison.com/courses/fundamentals-of-perl-programming/content,"['Free', 'Beginner']",1
908,Operating Systems,Introduction to Operating Systems,https://in.udacity.com/course/introduction-to-operating-systems--ud923,"['Free', 'Video', 'Beginner']",5
909,Operating Systems,Operating Systems Tutorial ,https://www.geeksforgeeks.org/operating-systems,"['Free', 'Advanced']",2
910,Operating Systems,Hack The Kernel,https://www.ops-class.org,"['Free', 'Video', 'Beginner']",1
911,Operating Systems,Operating Systems: Three Easy Pieces,http://pages.cs.wisc.edu/~remzi/OSTEP,"['Free', 'Book', 'Beginner']",0
912,Operating Systems,Operating Systems Introduction,https://www.w3schools.in/operating-system-tutorial/intro,"['Free', 'Beginner']",0
913,Operating Systems,Introduction to Operating Systems,https://www.studytonight.com/operating-system/introduction-operating-systems,"['Free', 'Beginner']",0
914,OpenCV,OpenCV Tutorials (official docs),http://docs.opencv.org/3.3.0/d9/df8/tutorial_root.html,"['Free', 'Beginner']",4
915,OpenCV,Computer Vision,http://www.cse.iitm.ac.in/~vplab/computer_vision.html,"['Free', 'Beginner']",1
916,OpenGL,Modern OpenGL Tutorials,http://ogldev.atspace.co.uk/,['Free'],1
917,OpenGL,Basics of using OpenGL,https://open.gl/,['Free'],0
918,OpenGL,Learn OpenGL,http://learnopengl.com/,['Free'],4
919,OpenGL,opengl-tutorial,http://www.opengl-tutorial.org/,['Free'],2
920,Perl,Perl Introduction,https://www.codesdope.com/perl-introduction,"['Free', 'Beginner', 'Perl']",0
921,PostgreSQL,PostgreSQL Exercises,https://pgexercises.com/,"['Free', 'Exercises/Practice-programs']",2
922,PostgreSQL,The Complete Python & PostgreSQL Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-python-postgresql-developer-course/,"['Paid', 'Video']",1
923,PostgreSQL,Python PostgreSQL Tutorial Using Psycopg2,https://pynative.com/python-postgresql-tutorial,"['Free', 'Book', 'Beginner']",0
924,PostgreSQL,PostgreSQL Tutorial,https://www.javatpoint.com/postgresql-tutorial,"['Free', 'Book', 'Advanced']",0
